email|amount|accountA|accountB|currency
Goodmorning Joe Briggs, I have a client in need of a money transfer. Could you transfer 508537 HNL from account cIYPPZNwBCy to account snkrsylm. Please let me know as soon as this is complete. Thanks!|508537|cIYPPZNwBCy|snkrsylm|HNL
Hey! Brandon Alexander It's Emily Gillespie. I would really appreciate if you could help me with something. I need to transfer $ 870541 GTQ from my personal bank account 3mcsk to my restaurant's business account, pes40vgocfaw. Will you let me know once everything is done? I'm really sorry, but this is really urgent. PLEASE send me notice when it is done.|870541|3mcsk|pes40vgocfaw|GTQ
Hello. $ 6698512 XCD needs to be moved from account 826460503 to this account 401556660. Thanks!Robert Whitney|6698512|826460503|401556660|XCD
Do the following Raymond Jordan MD. Move $ 8821784 KGS from this account called 785913700 to account 723886458. Thanks. We need this done ASAP. We have a client waiting.|8821784|785913700|723886458|KGS
Good evening. I have a question regarding monetary transfers, can funds be transferred from corporate accounts to personal accounts? If so, please assist with a transfer of $ 5830734 SRD into t3cue0hsvnk from corporate account QBdy1wmGD. Thanks.|5830734|QBdy1wmGD|t3cue0hsvnk|SRD
Please transfer $ 6002321 THB from account 130 to account 760. Thank you!|6002321|130|760|THB
Hi, I have attempted (unsuccessfully) to conduct the following transfer. I'd like to submit a transfer request, please take account 711121243 and move $ 6216548 KRW to account 932422088. I'm going to need this done as soon as you get the chance. I also will need a confirmation of this as soon as it is processed.Makayla Brooks|6216548|711121243|932422088|KRW
Move $ 1606274 XCD to 352416785 from 447760225. Thanks.|1606274|447760225|352416785|XCD
Hello, this is my second attempt to contact you regarding a transfer request. I need this transfer to be completed ASAP. Please take $ 7066534 RSD from QdvTuz4As6BZ and put this in account vku0ocjsg . If this request cannot be fully processed in the next 3 business days, please let me know so that I can make other arrangements. Sincerely, Andrea Barron|7066534|QdvTuz4As6BZ|vku0ocjsg|RSD
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 3548740 TRY into account 902151939 from account 908017932. Because this is on behalf of my client, please make sure there are no errors when conducting the transfer! Thank you, please send confirmation after this is done.|3548740|908017932|902151939|TRY
dear David Lopez can you make sure to mpve this amount 3808511 FKP dollars from account HoPP7fbmI to fqabxc4ze|3808511|HoPP7fbmI|fqabxc4ze|FKP
Please move 7449236 IDR dollars from account Jm to c.|7449236|Jm|c|IDR
Hey Amanda Marsh! Please move $ 6493362 GBP from account YPBSOMMMD1 to account CKL3Z3VNRHIY. Thanks! Send me an email back when it's done! Thanks :D :D|6493362|YPBSOMMMD1|CKL3Z3VNRHIY|GBP
Hey! Matthew Casey It's Nathan Nelson. Can you help me do something? I need to transfer $ 8008985 SGD from this account 357713366 to my other account 824875177. Will you let me know once everything is done?|8008985|357713366|824875177|SGD
Hello, how are you? I need to move $ 833712 JEP from 786006019 to 786665339. Sincerely,Robert Turner|833712|786006019|786665339|JEP
Please transfer $ 2446645 DOP from account xY to account Dv. Thank you!|2446645|xY|Dv|DOP
I need a transfer ASAP. Please take $ 7031886 DKK from 6XZ4IB8Q2 and put this in account JGQ|7031886|6XZ4IB8Q2|JGQ|DKK
Account EkWgLOXcT needs $ 7116485 NOK transferred to hinzkkc.|7116485|EkWgLOXcT|hinzkkc|NOK
Hello Paul Conley. Thanks for taking the time to read this email and assist with this transfer. I need you to move 9747507 GBP USD from account 559184429 to 193887691. PLEASE MAKE SURE THE FUNDS ARE MOVING FROM 559184429 to 193887691!!!! Please do not mix up the accounts. How soon can this be done? Please CALL me back, do NOT email.|9747507|559184429|193887691|GBP
We need this ASAP! Move $ 5652990 RON into account D925U from account PMOK3TOURETE!|5652990|PMOK3TOURETE|D925U|RON
move 678244 AZN to 705794557 from this account pls046984223|678244|046984223|705794557|AZN
Please transfer $ 4013802 TVD from account MgBc to account mTvz. Thank you!|4013802|MgBc|mTvz|TVD
Joseph Williams MD can u transfer 4336165 COP to tjis account 711775586 from this account 098870607|4336165|711775586|098870607|COP
Dear Kevin Hensley PhD, at the request of our client, we need a transfer in the amount of $ 1743942 BND. This needs to be completed today. Please move the funds from 49wGAcjGpto pi8qqxzuhk. Please contact me back with any questions. Thanks, Douglas Reyes|1743942|49wGAcjGp|pi8qqxzuhk|BND
Please move 6297934 QAR dollars from account 112 to 909.|6297934|112|909|QAR
Hello, how are you? I need to move $ 6837810 CRC from JKRT1PKHA to 9385.|6837810|JKRT1PKHA|9385|CRC
Goodmorning Daniel Bailey, could you transfer 1711380 XCD from account 873443382 to account 681172316. Please let me know as soon as this is complete. Thanks!|1711380|873443382|681172316|XCD
Hi. I need help with a money transfer, I'd like this to be as soon as possible. Could you transfer$ 9988076 JPY from account 335149846 to account 183022901. Thanks and please contact me after it is finished.|9988076|335149846|183022901|JPY
Hello, please help me move 5131403 BYN from 2vBJr2eGqi to account qsmpgi Can this be done? When? Thanks.|5131403|2vBJr2eGqi|qsmpgi|BYN
Hello Megan Mclaughlin, hope you are doing well. I am contacting you in need of assistance with a monetary transfer. We need a transfer of $ 3441944 DOP, unless there is a maximum amount that can be performed per transfer. Please move this amount from TDWPEu0tpAs to account qsplxqe8irq. Can this transaction be done? Let me know. Best, Erin Bush|3441944|TDWPEu0tpAs|qsplxqe8irq|DOP
Move money from acct AA4TJIZW4M to acct MGZ3HIPIT02 of the amount $ 24257 GIP. Thank you!|24257|AA4TJIZW4M|MGZ3HIPIT02|GIP
Hello. $ 4834623 BZD needs to be moved from account TgLm4Da to this account 3cgbm4gdtrrv. Thanks!Benjamin Cannon|4834623|TgLm4Da|3cgbm4gdtrrv|BZD
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 2950452 CUP into account 683446260 from account 436468569! Thank you, please confirm after this is done.|2950452|436468569|683446260|CUP
Dear madam/sir, I, Paul Wright am currently the account holder of the following bank accounts that are in need of a transfer. Please move $ 6862008 PAB to 502014923 from 228285367. For some reason, this transfer will not go through when I do it. Thanks, Paul Wright|6862008|228285367|502014923|PAB
Please take account LR03IOIVYZ and move $ 3580747 FKP to account J1H1HZU5U.|3580747|LR03IOIVYZ|J1H1HZU5U|FKP
Hi. I need help with a money transfer, I'd like this to be as soon as possible. Could you transfer$ 1941391 TTD from account 187856967 to account 685297515. Thanks and please contact me after it is finished.|1941391|187856967|685297515|TTD
Hi, can you please transfer $ 4225951 GHS USD from account 838285094 to the account 071567862. Thanks!Ashley Yates|4225951|838285094|071567862|GHS
Hello, this email is to confirm a monetary transfer request on behalf of my client, Jonathan Wong. Please move 4061019 BOB from my clients personal account,OYD6Vj, to the corporate account, bvohhgmbs5vf. Thank you very much. Sincerely,Scott Lin|4061019|OYD6Vj|bvohhgmbs5vf|BOB
Hey Lauren Gamble! Please move $ 6427427 MNT from account qfKuwzoRDWv to account sgkv5enm4nm. Thanks! Send me an email back when it's done.|6427427|qfKuwzoRDWv|sgkv5enm4nm|MNT
Please transfer $ 8240118 FKP from account OXxJ to account Tjs. Thank you!|8240118|OXxJ|Tjs|FKP
Move money from acct TP1EWP3 to acct 2CQED7G1PGUM of the amount $ 2309070 JPY. Thank you!|2309070|TP1EWP3|2CQED7G1PGUM|JPY
Please move 5054691 SRD dollars from account otM to M.|5054691|otM|M|SRD
Account jHP2l needs $ 9605255 PLN transferred to fikulixsivp.|9605255|jHP2l|fikulixsivp|PLN
Hi, I have attempted (unsuccessfully) to conduct the following transfer. I'd like to submit a transfer request, please take account 693067137 and move $ 7488004 RSD to account 250497175. I'm going to need this done as soon as you get the chance. I also will need a confirmation of this as soon as it is processed.Robert Garcia|7488004|693067137|250497175|RSD
Please transfer $ 5867584 EUR from account VpH to account gZm. Thank you!|5867584|VpH|gZm|EUR
Hi. I need help with a money transfer, I'd like this to be as soon as possible. Could you transfer$ 7847060 INR from account 2nNUkq to account aizllyfv. Thanks and please contact me after it is finished.|7847060|2nNUkq|aizllyfv|INR
Hello, this is my second attempt to contact you regarding a transfer request. I need this transfer to be completed ASAP. Please take $ 1292932 DOP from nlMAQztY and put this in account icrtgrkfxfnr . If this request cannot be fully processed in the next 3 business days, please let me know so that I can make other arrangements. Sincerely, Ellen Burke|1292932|nlMAQztY|icrtgrkfxfnr|DOP
Hello, this is an email regarding a transfer that I need assistance with. Please help me move 369277 EGP from 347482106. The funds need to be transferred to the account 538588972. Can this be done? and when? Let me know if you need additional details. Thanks.|369277|347482106|538588972|EGP
Please move 2697556 JEP dollars from account 37rvz to 34MZF.|2697556|37rvz|34MZF|JEP
Time to move 5248141 NOK USD from account CNXWZOP0V2 to X0KPUIWK9. When can this be done? Please contact.|5248141|CNXWZOP0V2|X0KPUIWK9|NOK
Hi, this is Jonathan Small, and this is to confirm a transfer that my client, Robert Richards, is requesting to be completed in the next couple of days. Could you move money from account YJO8eq680 to account w3geen8nt7 of the amount $ 7964564 SEK. Thank you! Please send me a receipt of the completed transfer for my client.|7964564|YJO8eq680|w3geen8nt7|SEK
We need to remove 131240 BSD from gJkFDwiLigwm and deposit this into v8yela8cai5. Thanks. Let me know when it's done.|131240|gJkFDwiLigwm|v8yela8cai5|BSD
Please transfer $ 8661295 RON from account 627Okp to account 753upo. Thank you!|8661295|627Okp|753upo|RON
Please transfer $ 6055168 CUP from account 43 to account 13. Thank you!|6055168|43|13|CUP
Hey! Ms. Sarah Rose It's Laura Barnett. Can you help me do something? I need to transfer $ 8656547 BSD from this account I have called 9DEA to my other account titled 1KJOV.|8656547|9DEA|1KJOV|BSD
Hey Shannon Carlson! Please move $ 7797987 YER from account TYv2wj to account xlfuyg. Thanks! Send me an email back when it's done.|7797987|TYv2wj|xlfuyg|YER
Hello, this email is to confirm a monetary transfer request on behalf of my client, James Montgomery. Please move 8196711 NZD from my clients personal account,tJnYf, to the corporate account, 5olnesuy9. Thank you very much. Sincerely,Mary Juarez|8196711|tJnYf|5olnesuy9|NZD
Please transfer $ 9747586 LKR from account cWa to account rM. Thank you!|9747586|cWa|rM|LKR
Goodmorning Jennifer Lamb, I have a client in need of a money transfer. Could you transfer 3296091 SCR from account b8oKtct57nX to account jic1v3. Please let me know as soon as this is complete. Thanks!|3296091|b8oKtct57nX|jic1v3|SCR
Please move 9000088 NZD dollars from account 135eIm to 854Jht.|9000088|135eIm|854Jht|NZD
Please move 7529867 ISK dollars from account 5856587 to 9375787.|7529867|5856587|9375787|ISK
Hey!!! Andrew Reed. Can you transfer $ 7042623 NAD from this account 12WUN to my other account Q24VYRO. Thanks! Best Regards, David Benitez|7042623|12WUN|Q24VYRO|NAD
Good evening. I have a question regarding monetary transfers, can funds be transferred from corporate accounts to personal accounts? If so, please assist with a transfer of $ 812718 SGD into 887316023 from corporate account 184732419. Thanks.|812718|184732419|887316023|SGD
 $ 4600688 GTQ needs to be moved from account ABugv7cFvZ to this account npvp7ojah5.Thanks,Corey Burgess!|4600688|ABugv7cFvZ|npvp7ojah5|GTQ
Samuel Smith I need a transfer of $ 9293799 PAB from 1F1WSto IY3M. Thanks.|9293799|1F1WS|IY3M|PAB
Hey, I need help transferring $ 7388553 SYP from account 095314022 to account 683251074. Thanks!|7388553|095314022|683251074|SYP
Hey Kathleen Velez! Please move $ 6926139 SOS from account 347959489 to account 832576789. Thanks! Send me an email back when it's done.|6926139|347959489|832576789|SOS
Good afternoon, we need assistance with a money transfer. We need this ASAP! Move $ 7148176 SRD into account 652150939 from account 636283891! Thank you, please confirm after this is done.|7148176|636283891|652150939|SRD
Please transfer $ 1380919 BOB from account Rlr to account po. Thank you!|1380919|Rlr|po|BOB
Please move 3555332 JPY dollars from account vLV to pK.|3555332|vLV|pK|JPY
Goodmorning David Thomas, I have a client in need of a money transfer. Could you transfer 360337 ISK from account txvqxCUr to account zki0jsz. Please let me know as soon as this is complete. Thanks!|360337|txvqxCUr|zki0jsz|ISK
Hello Terry Dennis. Thanks for taking the time to read this email and assist with this transfer. I need you to move 8953420 EUR USD from account sT36VROx to yesbmkf8. PLEASE MAKE SURE THE FUNDS ARE MOVING FROM sT36VROx to yesbmkf8!!!! Please do not mix up the accounts. How soon can this be done? Please CALL me back, do NOT email.|8953420|sT36VROx|yesbmkf8|EUR
HiWilliam Martinez, I need you to transfer $ 7213653 FKP from 439936418to 015515297. Thanks.|7213653|439936418|015515297|FKP
We need this ASAP! Move $ 4473841 LRD into account KOV8F from account HGT5!|4473841|HGT5|KOV8F|LRD
Hi, this is Joseph Williams, and this is to confirm a transfer that my client, Dr. Sherry Flowers, is requesting to be completed in the next couple of days. Could you move money from account Chx4FC8Hc to account odrnzvbi of the amount $ 6757374 CHF. Thank you! Please send me a receipt of the completed transfer for my client.|6757374|Chx4FC8Hc|odrnzvbi|CHF
To whom it may concern: Hi, I have a client who needs assistance with a transfer. We need to move $ 4137305 FKP dollars as soon as possible. Would be great if you could move it from 003324017 to 135373613. How soon can this be done, and when will the funds be fully processed? Sincerely, Steven Garcia|4137305|003324017|135373613|FKP
Dear madam/sir, I, Johnny Arnold am currently the account holder of the following bank accounts that are in need of a transfer. Please move $ 3210844 SEK to yrlxshvr from VPBPA. For some reason, this transfer will not go through when I do it. Thanks, Johnny Arnold|3210844|VPBPA|yrlxshvr|SEK
Good evening. I have a question regarding monetary transfers, can funds be transferred from corporate accounts to personal accounts? If so, please assist with a transfer of $ 4899161 SOS into 437353915 from corporate account 172682236. Thanks.|4899161|172682236|437353915|SOS
Please transfer $ 4626965 SHP from account iQ to account K. Thank you!|4626965|iQ|K|SHP
Please transfer $ 7052416 LAK from account B to account i. Thank you!|7052416|B|i|LAK
Hi, can you please help me? There is a new deposit to the account 8CrP790G of the amount 3063743 SGD. I need to transfer this exact amount moved into my business account, rcm0ligei. How many business days will this transfer take? Thanks so much, Erin Ortiz|3063743|8CrP790G|rcm0ligei|SGD
Please move 8536520 COP dollars from account Xg to v.|8536520|Xg|v|COP
Hello, this email is to confirm a monetary transfer request on behalf of my client, Jimmy Williams. Please move 3812905 EGP from my clients personal account,642768615, to the corporate account, 389860302. Thank you very much. Sincerely,Tina Douglas|3812905|642768615|389860302|EGP
Dear Brandon Hale, at the request of our client, we need a transfer in the amount of $ 721959 DOP. This needs to be completed today. Please move the funds from S8Z6Fto edfmi5fjcp. Please contact me back with any questions. Thanks, Anna Richardson|721959|S8Z6F|edfmi5fjcp|DOP
We need a transfer of $ 3307851 JMDfrom account FBU7DYto account F93. This needs to be done today. Thanks!|3307851|FBU7DY|F93|JMD
Hey!!! Christopher Castro. Can you transfer $ 9763426 CZK between two of my accounts? The funds need to be moved from this account YGyrn3Vo3CHi to my other account zvadthnmk. Make sure you get those accounts correctly. Thanks! Best Regards, Sarah Hunt|9763426|YGyrn3Vo3CHi|zvadthnmk|CZK
Please move 1390634 BRL dollars from account HuP315 to UCB638.|1390634|HuP315|UCB638|BRL
Hi, can you please transfer 4762510 GIP and move this amount to y5irantk from HuxA9j2IjYu. Thank you!|4762510|HuxA9j2IjYu|y5irantk|GIP
Please move 2320554 SOS dollars from account zM to h.|2320554|zM|h|SOS
HiStephanie Rios, I need you to transfer $ 9234170 PEN from 033876969to 414706990. Thanks.|9234170|033876969|414706990|PEN
Hello. $ 7299999 MYR needs to be moved from account 673289834 to this account 446243041. Thanks!Gavin Mclaughlin|7299999|673289834|446243041|MYR
Goodmorning Brittany Jones, I have a client in need of a money transfer. Could you transfer 2277588 MYR from account BNPMs to account 9zgrro715. Please let me know as soon as this is complete. Thanks!|2277588|BNPMs|9zgrro715|MYR
Hey!!! Kathryn Baker. Can you transfer $ 7684850 BRL between two of my accounts? The funds need to be moved from this account Y9huj to my other account flkdzbve0. Make sure you get those accounts correctly. Thanks! Best Regards, Megan Miles|7684850|Y9huj|flkdzbve0|BRL
Goodmorning Susan Smith, could you transfer 6918305 IDR from account rRwBGjwJ3hP to account mxybotcg1. Please let me know as soon as this is complete. Thanks!|6918305|rRwBGjwJ3hP|mxybotcg1|IDR
hey i'm looking to do a transfer. could you please send 536526 KPW from account J6OUYOV2SE to account 4TI.|536526|J6OUYOV2SE|4TI|KPW
Hi, can you please help me? I need a transfer of $ 1213533 SGD dollars moved into 438207456from 077477871. Thank you.|1213533|077477871|438207456|SGD
I need a transfer ASAP. Please take $ 5399501 NOK from QR0ZJHHG6P and put this in account DI17I5UY43|5399501|QR0ZJHHG6P|DI17I5UY43|NOK
Hi Lisa Smith, this email is to authorize a payment transfer request. We are in need of assistance, could you transfer $ 2614035 MKD from 841592526to 023905924. This is of utmost importance because we have multiple clients waiting for these funds. Thank you so much. Best Regards, Roger Sanchez|2614035|841592526|023905924|MKD
Hi. I need help with a money transfer, I'd like this to be as soon as possible. Could you transfer$ 2124369 BOB from account WA6QFVZQwPfq to account k9ee2. Thanks and please contact me after it is finished.|2124369|WA6QFVZQwPfq|k9ee2|BOB
Please move 5702149 KZT dollars from account B to X.|5702149|B|X|KZT
Hello. We need a transfer of $ 7843330 GGP from account MTr1WAA to this account, 7upaj9w. Thanks! Sharon Johnston|7843330|MTr1WAA|7upaj9w|GGP
Please transfer $ 6041309 GIP from account 6333709 to account 1501963. Thank you!|6041309|6333709|1501963|GIP
I need a transfer ASAP. Please take $ 8310290 GIP from BY07JH and put this in account ITQSLO|8310290|BY07JH|ITQSLO|GIP
Please move 6245753 AUD dollars from account 33 to 14.|6245753|33|14|AUD
Hello, this is an email regarding a transfer that I need assistance with. Please help me move 9271561 MXN from daWYOr5. The funds need to be transferred to the account 2uplcwobv3z. Can this be done? and when? Let me know if you need additional details. Thanks.|9271561|daWYOr5|2uplcwobv3z|MXN
Move $ 7491154 HNL into account H23L4DM7WS from 1TRZ4|7491154|1TRZ4|H23L4DM7WS|HNL
Please take account WGKH7C and move $ 584065 ILS to account 041HX0H.|584065|WGKH7C|041HX0H|ILS
Do the following Gregory Shaw. Move $ 4587590 BND from this account called GCLGA9BGKE to account 2GB77CTNLY27. Thanks. We need this done ASAP. We have a client waiting.|4587590|GCLGA9BGKE|2GB77CTNLY27|BND
We need a transfer of $ 4961129 HKDfrom account DUS8L7OFYB8Tto account B11RFYP9C. This needs to be done today. Thanks!|4961129|DUS8L7OFYB8T|B11RFYP9C|HKD
I need a transfer ASAP. Please take $ 3764863 VND from 7XP and put this in account 9C3Q7FZQGG9|3764863|7XP|9C3Q7FZQGG9|VND
Hello Tracie Duncan. Thanks for taking the time to read this email and assist with this transfer. I need you to move 8244 BSD USD from account AzzmEgorHbnO to pnxd33. PLEASE MAKE SURE THE FUNDS ARE MOVING FROM AzzmEgorHbnO to pnxd33!!!! Please do not mix up the accounts. How soon can this be done? Please CALL me back, do NOT email.|8244|AzzmEgorHbnO|pnxd33|BSD
Please move 9369401 BAM dollars from account UDy to n.|9369401|UDy|n|BAM
Account WAG4BVL4G needs $ 3750363 NAD transferred to M34686R9EO.|3750363|WAG4BVL4G|M34686R9EO|NAD
Please transfer $ 3998715 ZWD from account Sw to account U. Thank you!|3998715|Sw|U|ZWD
Dear madam/sir, I, Peter Martinez am currently the account holder of the following bank accounts that are in need of a transfer. Please move $ 3264538 TWD to gpukvxw5tje from AkpdIt9. For some reason, this transfer will not go through when I do it. Thanks, Peter Martinez|3264538|AkpdIt9|gpukvxw5tje|TWD
I need to move $ 8655853 EUR into 7P4BVABKBNPU from account DZI. Thanks.|8655853|DZI|7P4BVABKBNPU|EUR
Could you transfer$ 8584879 BGN from account OPIJ9NDH3M2F to account 8TEK. Thanks and please contact me after it is finished.|8584879|OPIJ9NDH3M2F|8TEK|BGN
Hello. We need a transfer of $ 5183414 CUP from account 269104748 to this account, 537279221. Thanks! Emily Gonzales|5183414|269104748|537279221|CUP
Goodmorning John Bautista, I have a client in need of a money transfer. Could you transfer 5296208 FKP from account pKKvD7BrcvZ1 to account zpo61rv. Please let me know as soon as this is complete. Thanks!|5296208|pKKvD7BrcvZ1|zpo61rv|FKP
Hi. I need help with a money transfer, I'd like this to be as soon as possible. Could you transfer$ 8155110 KYD from account UzovqIA to account 9iawvpdi. Thanks and please contact me after it is finished.|8155110|UzovqIA|9iawvpdi|KYD
Dear Nancy Moran, we need a transfer of $ 7051480 SBDfrom the corporate account 945359137to my client's personal account 121460398. This needs to be done TODAY. Sorry to rush, but I have a client waiting. Thanks!|7051480|945359137|121460398|SBD
move 979441 GIP to tbvxt from this account pls35xNQ|979441|35xNQ|tbvxt|GIP
Please take account 1SX and move $ 6174697 MXN to account P3WAOXFQD.|6174697|1SX|P3WAOXFQD|MXN
Hi, I have attempted (unsuccessfully) to conduct the following transfer. I'd like to submit a transfer request, please take account BGtKLnuM3F and move $ 9924011 VEF to account exj27m80wcef. I'm going to need this done as soon as you get the chance. I also will need a confirmation of this as soon as it is processed.Patty Robinson|9924011|BGtKLnuM3F|exj27m80wcef|VEF
Hey!!! Kelly Church. Can you transfer $ 4638488 GBP from this account QKX4nVtoW to my other account yvxs1m. Thanks! Best Regards, Samuel Watson|4638488|QKX4nVtoW|yvxs1m|GBP
Hi, can you please transfer 428167 ZWD and move this amount to tl61d9ftr from xrbPZB. Thank you!|428167|xrbPZB|tl61d9ftr|ZWD
Hi, I hope this email finds you well. We have an urgent request. Could $ 304274 CZK be transferred into account 677828184 from 349421827? Let me know. Have a great rest of your evening. Best regards,James Ruiz|304274|349421827|677828184|CZK
Hello, please help me move 7569267 GHS from PHFHNGROI to account WHUICTY4 Can this be done?|7569267|PHFHNGROI|WHUICTY4|GHS
Hello, this is an email regarding a transfer that I need assistance with. Please help me move 534019 FKP from 973091315. The funds need to be transferred to the account 043359246. Can this be done? and when? Let me know if you need additional details. Thanks.|534019|973091315|043359246|FKP
Hi, can you please transfer 7220959 BND moved into MKJS from ZMUH1UK. Thank you!|7220959|ZMUH1UK|MKJS|BND
Please move 2439380 IDR dollars from account hey756 to OGR168.|2439380|hey756|OGR168|IDR
Hello, I'm trying to transfer some funds between two of my accounts but it is not functioning. Please help me do the following. Move $ 3783181 VND from my savings account called gRHMd to my checking account 1owsi. How will I know once this is completed? Will I be receiving confirmation via email? Best, Angela York|3783181|gRHMd|1owsi|VND
Please move 6195658 PHP dollars from account cns to XT.|6195658|cns|XT|PHP
To whom it may concern: Hi, I have a client who needs assistance with a transfer. We need to move $ 2982238 CZK dollars as soon as possible. Would be great if you could move it from lkS8Nq98X1 to txnmot7q. How soon can this be done, and when will the funds be fully processed? Sincerely, Alyssa Rodriguez|2982238|lkS8Nq98X1|txnmot7q|CZK
Dear Vanessa Bell, we need a transfer of $ 2261792 SHPfrom the corporate account 9UNewto my client's personal account buf6zu. This needs to be done TODAY. Sorry to rush, but I have a client waiting. Thanks!|2261792|9UNew|buf6zu|SHP
Hi Desiree Moore could you transfer 965349 LBP from account HV6J0G to account IPW6EXMR.|965349|HV6J0G|IPW6EXMR|LBP
Hi, this is Austin Copeland, and this is to confirm a transfer that my client, Cassandra Moore, is requesting to be completed in the next couple of days. Could you move money from account 107385881 to account 206468677 of the amount $ 622967 KRW. Thank you! Please send me a receipt of the completed transfer for my client.|622967|107385881|206468677|KRW
Please move 3584594 MNT dollars from account 76LrX to 26OgL.|3584594|76LrX|26OgL|MNT
Hi, I have attempted (unsuccessfully) to conduct the following transfer. I'd like to submit a transfer request, please take account 595493099 and move $ 477620 BZD to account 892814454. I'm going to need this done as soon as you get the chance. I also will need a confirmation of this as soon as it is processed.Emily Swanson|477620|595493099|892814454|BZD
Please move 9612178 CHF from R5Z4uXZ0 to account lktwcp. Thank you very much. Sincerely, Patricia Morgan|9612178|R5Z4uXZ0|lktwcp|CHF
Please transfer $ 8057122 BGN from account 754 to account 535. Thank you!|8057122|754|535|BGN
Hello. $ 9670934 SHP needs to be moved from account 698422138 to this account 602448444. Thanks!Robert Whitney|9670934|698422138|602448444|SHP
Hey! Lisa Sullivan It's Brandon Johnson. I would really appreciate if you could help me with something. I need to transfer $ 1919438 SRD from my personal bank account 512870819 to my restaurant's business account, 159216168. Will you let me know once everything is done? I'm really sorry, but this is really urgent. PLEASE send me notice when it is done.|1919438|512870819|159216168|SRD
I need a transfer ASAP. Please take $ 5403957 NIO from PvU6NDZRd and put this in account eowmykw3js6|5403957|PvU6NDZRd|eowmykw3js6|NIO
Hi this is Shawn Williams. I need you to help me transfer 9236291 MZN from Cmm9vi into nfb306xc8. How soon can this be completed? Please let me know.|9236291|Cmm9vi|nfb306xc8|MZN
Hi this is Christopher Nelson. I need you to do the following. Please help me transfer 7374885 GHS from d1z4vsS into kbodzgrmdjwk. Thanks.|7374885|d1z4vsS|kbodzgrmdjwk|GHS
Hi, this is Jeremy Mcmahon, and this is to confirm a transfer that my client, Michelle Smith, is requesting to be completed in the next couple of days. Could you move money from account 605706132 to account 747093081 of the amount $ 2762537 KRW. Thank you! Please send me a receipt of the completed transfer for my client.|2762537|605706132|747093081|KRW
Hey Brian Richard! Please move $ 6927232 BSD from account 4rkACi to account pcey4j9cnw. Thanks! Send me an email back when it's done.|6927232|4rkACi|pcey4j9cnw|BSD
Please transfer $ 8260935 UZS from account 467 to account 730. Thank you!|8260935|467|730|UZS
Move $ 58587 SGD into account BKV from HQN5TQ81HOC|58587|HQN5TQ81HOC|BKV|SGD
Hi, this is Dr. Maurice Perry, and this is to confirm a transfer that my client, Angela Simmons, is requesting to be completed in the next couple of days. Could you move money from account J5AIEFq to account doo9qd7kudo of the amount $ 1215403 TRY. Thank you! Please send me a receipt of the completed transfer for my client.|1215403|J5AIEFq|doo9qd7kudo|TRY
Hello, this is my second attempt to contact you regarding a transfer request. I need this transfer to be completed ASAP. Please take $ 728695 BRL from 2m2FxYxjBI and put this in account dkgxfbjwdudo . If this request cannot be fully processed in the next 3 business days, please let me know so that I can make other arrangements. Sincerely, Vincent Quinn|728695|2m2FxYxjBI|dkgxfbjwdudo|BRL
Good evening, I am writing this email to authorize a transaction. Is the following amount feasible for a transfer? I need to move $ 7548548 HUF from account 853451649 to 867682986. If there is any trouble, please don't hesitate to reach out. Thanks, Dustin Lee|7548548|853451649|867682986|HUF
Hey!!! Leslie Garcia. Can you transfer $ 3311920 MYR from this account CJRRVVZ55W to my other account GUE7BNP5. Thanks! Best Regards, Nathan Garcia|3311920|CJRRVVZ55W|GUE7BNP5|MYR
Please transfer $ 223454 KYD from account cpzG to account Mbu. Thank you!|223454|cpzG|Mbu|KYD
Hello, this is an email regarding a transfer that I need assistance with. Please help me move 3463273 PKR from 840733877. The funds need to be transferred to the account 212895423. Can this be done? and when? Let me know if you need additional details. Thanks.|3463273|840733877|212895423|PKR
Dear Mark Wright, I am here to inform you of a bank transfer that my client is requesting. Could you move $ 6620803 CZK from gX1CshAhI into account etugyed5bw4r. When will these funds be available? My client needs this to be completed as soon as possible.|6620803|gX1CshAhI|etugyed5bw4r|CZK
Hello, this email is to confirm a monetary transfer request on behalf of my client, Jeremy George. Please move 6975156 AWG from my clients personal account,Dcmbg, to the corporate account, 08xmg. Thank you very much. Sincerely,Jenna Skinner|6975156|Dcmbg|08xmg|AWG
Hello, this is my second attempt to contact you regarding a transfer request. I need this transfer to be completed ASAP. Please take $ 5695730 HRK from xb9t0Uhq and put this in account spohwgajt . If this request cannot be fully processed in the next 3 business days, please let me know so that I can make other arrangements. Sincerely, Johnathan Avery|5695730|xb9t0Uhq|spohwgajt|HRK
Please transfer $ 4022382 GGP from account EUvp to account ImS. Thank you!|4022382|EUvp|ImS|GGP
To whom it may concern: Hi, I have a client who needs assistance with a transfer. We need to move $ 867743 TRY dollars as soon as possible. Would be great if you could move it from mV1IwT to 1uzts5umtrpv. How soon can this be done, and when will the funds be fully processed? Sincerely, Sean Soto|867743|mV1IwT|1uzts5umtrpv|TRY
Move $ 7124924 EGP into account HA9RNEUI from V55W0K884LT0|7124924|V55W0K884LT0|HA9RNEUI|EGP
Please move 8083486 MNT dollars from account 468jXe to 615Uzm.|8083486|468jXe|615Uzm|MNT
Please transfer $ 5485795 ARN from account UWus to account pUD. Thank you!|5485795|UWus|pUD|ARN
